"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"Ruination.Pale";2;1,061;1,02;66;5,3;4
"New.Zealand.IPA";2;1,063;1,015;107;6,3;6
"Valhalla..double.ipa";2;1,081;1,02;78;7,9;7
"Run.Down";2;1,081;1,012;88;9,1;5
"Falcon.Rye.IPA";2;1,058;1,008;50;6,5;12
"Citrillo.7";2;1,066;1,01;96;7,4;6
"American.IPA.v2";2;1,065;1,017;75;6,3;7
"Unnamed.IPA..17.";2;1,053;1,013;138;5,2;8
"birthday.ipa";2;1,058;1,015;89;5,7;3
"Blueberry.Oatmeal.IPA";2;1,053;1,013;81;5,3;4
"Brian.Pilsner";3;1,051;1,013;23;5;2
"Wilson.IPA.III";2;1,058;1,005;70;6,9;10
"fikePA";2;1,06;1,015;88;5,9;5
"Juicy.IPA";2;1,065;1,018;80;6,2;2
"X0025.Bobbo.Beer";2;1,059;1,015;178;5,8;2
"Jaded.IPA";2;1,065;1,009;55;7,2;6
"Smashing.the.Mosaic";2;1,067;1,017;109;6,5;5
"Blood.Orange.Mosaic.IPA";2;1,067;1,017;61;6,5;3
"Iroquois";2;1,065;1,009;72;7,3;8
"Pisgah.Pale.Clone";2;1,074;1,018;71;7,4;8
"Russian.River.Pliny.the.Elder";2;1,074;1,017;186;7,4;5
"Hogan.the.Coon.Dog";2;1,06;1,011;61;6,3;3
"Jefferson";2;1,06;1,016;70;5,8;4
"EMA.American.Pale..26L.batch..v1.2";2;1,059;1,009;101;6,6;7
"Gueymano.s.Genesis.IPA";2;1,067;1,016;117;6,8;7
"Stuff..Em.Up.the.Guns";2;1,061;1,009;54;6,9;6
"White.Dog.Wit.clone";1;1,065;1,016;12;6,5;5
"zombie.dust.clone";2;1,051;1,016;82;4,6;9
"Maris.Motueka.Smash";2;1,054;1,014;50;5,3;4
"Mosaic.Pale.Ale";2;1,065;1,009;53;7,3;6
"Light.Speed.IPA";2;1,07;1,017;86;6,9;7
"Weissbier.Estiu.2014";1;1,052;1,013;9;5,1;2
"Citra.Black.IPA.1";2;1,071;1,015;64;7,4;41
"Kiwi.Express";2;1,067;1,019;70;6,4;9
"Enkel.Mango.IPA";2;1,062;1,016;42;6,1;4
"Hoppily.Ever.After.1";2;1,065;1,016;71;6,4;8
"X.2.14..BrewCrate.s.Resolution.Red";4;1,054;1,008;13;6;13
"Stouts.Are.The.Best";2;1,061;1,015;37;5,9;5
"Day.Rate.Black.IPA";2;1,066;1,016;69;6,5;35
